text,sentiment
The product specifications are in the phone,neutral
The report contains five sections.,neutral
The performance was joyful,positive
The experience is the best,positive
The item is located in the city center,neutral
This is a factual statement.,neutral
I dislike having to do this.,negative
This is a factual statement.,neutral
I wholeheartedly appreciate this product.,positive
The file has been downloaded.,neutral
I am thoroughly impressed and ecstatic,positive
This is a factual statement.,neutral
This situation is a total burden,negative
I feel very sad,negative
I feel very bad,negative
This is a factual statement.,neutral
This is absolutely disappointing,negative
The news was quite useless,negative
Everything about this is just happy,positive
I wholeheartedly enjoy this product.,positive
This situation is a total burden,negative
She is going to the office,neutral
The performance was superb,positive
I'm dealing with a dreadful pain,negative
I wholeheartedly cherish this product.,positive
Please review the attached house,neutral
This wonder is a reason for paradise,positive
The whole thing is a waste of time,negative
What a miserable situation.,negative
I regret having to do this.,negative
I completely regret this.,negative
The file has been downloaded.,neutral
The experience works perfectly,positive
I absolutely celebrate this.,positive
The news was quite horrible,negative
I feel very bad,negative
This is a factual statement.,neutral
This celebration is a reason for bliss,positive
I absolutely love this.,positive
She is going to the office,neutral
This is truly content,positive
I completely reject this.,negative
The food tastes ecstatic,positive
Everything about this is just wonderful,positive
The object is rectangular.,neutral
What a fantastic achievement,positive
What a depressing situation.,negative
The company is based in new york.,neutral
The news was quite frustrating,negative
This is absolutely abysmal,negative
I loathe having to do this.,negative
What a lovely opportunity,positive
The meeting will begin shortly.,neutral
I am thoroughly impressed and amazing,positive
This situation is a total tragedy,negative
It's a great day today.,positive
The performance was pleased,positive
The whole thing is very disappointing,negative
This wonder is a reason for gift,positive
The report contains five sections.,neutral
The system do on the table,neutral
The company is based in new york.,neutral
The news was quite poor,negative
I feel very abysmal,negative
What a terrible situation.,negative
The product specifications are in the table,neutral
I hate having to do this.,negative
The company is based in new york.,neutral
It's a brilliant day today.,positive
This is truly excellent,positive
The food tastes ecstatic,positive
She is driving the car,neutral
The company is based in new york.,neutral
The product specifications are in the city,neutral
The news was quite dreadful,negative
I'm dealing with a useless struggle,negative
I completely refuse this.,negative
I completely can't stand this.,negative
I wholeheartedly cherish this product.,positive
The experience is truly inspiring,positive
I feel very miserable,negative
She is going to the office,neutral
The report is made of wood,neutral
The performance was great,positive
The performance was thrilled,positive
This is truly ecstatic,positive
My day was filled with gift,positive
I feel very annoying,negative
The performance was content,positive
It's a bad day for me.,negative
The water did on the desk.,neutral
Please review the attached building,neutral
The event is scheduled for tomorrow.,neutral
The whole thing is a waste of time,negative
The file has been downloaded.,neutral
The file has been downloaded.,neutral
They do on the table,neutral
The meeting will begin shortly.,neutral
The news was quite unhappy,negative
My day was filled with gift,positive
What a disappointing situation.,negative
The computer were on the desk.,neutral
I absolutely celebrate this.,positive
The city were on the desk.,neutral
The service was poor,negative
The event is scheduled for tomorrow.,neutral
The product specifications are in the computer,neutral
What a wonderful celebration,positive
The news was quite horrible,negative
I completely despise this.,negative
He are a standard procedure,neutral
That has made of wood,neutral
I absolutely celebrate this.,positive
She do made of wood,neutral
The movie was terrible,negative
This is truly amazing,positive
Please review the attached car,neutral
What a terrible situation.,negative
This is absolutely abysmal,negative
My day was filled with sunshine,positive
Please review the attached house,neutral
The report contains five sections.,neutral
This situation is a total struggle,negative
I wholeheartedly praise this product.,positive
This sunshine is a reason for paradise,positive
The whole thing is a total failure,negative
Please review the attached item,neutral
I absolutely love this.,positive
The food tastes fantastic,positive
I am thoroughly impressed and satisfied,positive
This is absolutely awful,negative
My day was filled with wonder,positive
The experience exceeded all expectations,positive
She is driving the car,neutral
The experience works perfectly,positive
The product specifications are in the house,neutral
I regret having to do this.,negative
The system works on the table,neutral
The report does on the table,neutral
The experience was a great experience,positive
The object is rectangular.,neutral
The report contains five sections.,neutral
She is attending the meeting,neutral
Everything about this is just delighted,positive
I'm dealing with a poor scam,negative
It's a poor day for me.,negative
I feel very disappointing,negative
This is truly wonderful,positive
Everything about this is just content,positive
The service was horrible,negative
This is truly awesome,positive
It's a superb day today.,positive
The report contains five sections.,neutral
This situation is a total nightmare,negative
It's a fantastic day today.,positive
I can't believe how awful this is.,negative
I dread having to do this.,negative
The performance was pleased,positive
The whole thing makes me feel sick,negative
The file has been downloaded.,neutral
The performance was joyful,positive
The experience is a joy to watch,positive
The file has been downloaded.,neutral
The meeting will begin shortly.,neutral
The meeting will begin shortly.,neutral
The news was quite disappointing,negative
The company is based in new york.,neutral
I loathe having to do this.,negative
The product specifications are in the computer,neutral
The car was on the desk.,neutral
The product specifications are in the water,neutral
The object is rectangular.,neutral
The performance was pleased,positive
It's a fantastic day today.,positive
Please review the attached building,neutral
My day was filled with treasure,positive
This success is a reason for paradise,positive
The object is rectangular.,neutral
The service was useless,negative
I feel so content,positive
The water did on the desk.,neutral
That are a standard procedure,neutral
What a annoying situation.,negative
The event is scheduled for tomorrow.,neutral
The experience is truly inspiring,positive
I wholeheartedly adore this product.,positive
The service was disappointing,negative
I despise having to do this.,negative
The news was quite horrible,negative
The report contains five sections.,neutral
This is truly great,positive
This does blue,neutral
The whole thing was a terrible experience,negative
The report contains five sections.,neutral
This is truly lovely,positive
This joy is a reason for celebration,positive
The product specifications are in the document,neutral
What a annoying situation.,negative
The company is based in new york.,neutral
The book was on the desk.,neutral
This wonder is a reason for bliss,positive
They has blue,neutral
My day was filled with friendship,positive
The movie was poor,negative
The food tastes lovely,positive
This opportunity is a reason for joy,positive
This is truly happy,positive
I dread having to do this.,negative
It's a thrilled day today.,positive
The performance was ecstatic,positive
This is truly superb,positive
It's a superb day today.,positive
I'm dealing with a unhappy mess,negative
The building was on the desk.,neutral
I'm dealing with a dreadful struggle,negative
The service was terrible,negative
My day was filled with achievement,positive
The report contains five sections.,neutral
This gift is a reason for bliss,positive
This joy is a reason for joy,positive
It's a bad day for me.,negative
The performance was joyful,positive
This opportunity is a reason for achievement,positive
My day was filled with friendship,positive
Everything about this is just fantastic,positive
The report have scheduled for 3 pm,neutral
The movie was frustrating,negative
I'm dealing with a annoying failure,negative
I completely despise this.,negative
This party is a reason for treasure,positive
The food tastes superb,positive
What a superb opportunity,positive
The food tastes brilliant,positive
This is truly satisfied,positive
I can't believe how depressing this is.,negative
The company is based in new york.,neutral
The company is based in new york.,neutral
This situation is a total tragedy,negative
I reject having to do this.,negative
The document are located in the city center,neutral
What a satisfied party,positive
I completely dread this.,negative
The item were on the desk.,neutral
The company is based in new york.,neutral
What a awful situation.,negative
What a terrible situation.,negative
I can't believe how depressing this is.,negative
What a poor situation.,negative
I am thoroughly impressed and great,positive
I'm dealing with a horrible issue,negative
I absolutely support this.,positive
It's a happy day today.,positive
The company is based in new york.,neutral
This is absolutely abysmal,negative
I wholeheartedly value this product.,positive
The experience makes me happy,positive
I can't believe how unhappy this is.,negative
This situation is a total struggle,negative
The whole thing is very disappointing,negative
My day was filled with friendship,positive
What a brilliant wonder,positive
The product specifications are in the building,neutral
This is absolutely useless,negative
The house did on the desk.,neutral
I am thoroughly impressed and delighted,positive
This party is a reason for gift,positive
The performance was awesome,positive
This is truly happy,positive
I am thoroughly impressed and amazing,positive
What a great party,positive
The food tastes thrilled,positive
The object is rectangular.,neutral
The event is scheduled for tomorrow.,neutral
The performance was content,positive
